rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1375720273049553729,,412,,1375720273,48316001,'',"[0.03863482549786568, -0.0, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273069472549,,413,,1375720273,68243618,'',"[0.04611989110708237, -0.0, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273077604257,,414,,1375720273,76243734,'',"[0.04239342361688614, -0.0, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273085630923,,415,,1375720273,84251835,'',"[0.04611989110708237, 0.02902952767908573, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273097626237,,416,,1375720273,96258181,'',"[0.03863482549786568, 0.04583077132701874, 0.0, -0.0, -0.05032823607325554, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273105567631,,417,,1375720273,104261937,'',"[0.03863482549786568, 0.055950064212083817, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273113580841,,418,,1375720273,112258316,'',"[0.03863482549786568, 0.06600511074066162, 0.0, -0.0, -0.05032823607325554, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273125591999,,419,,1375720273,124272617,'',"[0.03863482549786568, 0.076124407351017, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273153458434,,420,,1375720273,152271289,'',"[0.03863482549786568, 0.08955255150794983, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273161589122,,421,,1375720273,160235606,'',"[0.03863482549786568, 0.1030128225684166, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273173407124,,422,,1375720273,172265513,'',"[0.031149759888648987, 0.11309999227523804, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273189583638,,423,,1375720273,188292998,'',"[0.03490835428237915, 0.1265602558851242, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273197573716,,424,,1375720273,196286375,'',"[0.03490835428237915, 0.14336149394512177, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273201534449,,425,,1375720273,200295354,'',"[0.03863482549786568, 0.1567896455526352, 0.0, -0.0, -0.05032823607325554, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273209559285,,426,,1375720273,208312113,'',"[0.03863482549786568, 0.1702820360660553, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273217648217,,427,,1375720273,216321033,'',"[0.03490835428237915, 0.1803370863199234, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273225649353,,428,,1375720273,224299781,'',"[0.03490835428237915, 0.20051142573356628, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273233580679,,429,,1375720273,232313833,'',"[0.03863482549786568, 0.21397168934345245, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720273237676670,,430,,1375720273,236329919,'',"[0.03490835428237915, 0.2307729423046112, 0.0, -0.0, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
