rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1375720388885146425,,669,,1375720388,883876173,'',"[0.031149759888648987, 0.076124407351017, 0.0, 0.010911170393228531, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388893148564,,670,,1375720388,891857913,'',"[0.012421033345162868, 0.10638591647148132, 0.0, 0.010911170393228531, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388901024600,,671,,1375720388,899855417,'',"[0.008694563060998917, 0.13998840749263763, 0.0, 0.010911170393228531, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388908999750,,672,,1375720388,907833347,'',"[0.008694563060998917, 0.26106658577919006, 0.0, 0.010911170393228531, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388912982430,,673,,1375720388,911831069,'',"[0.008694563060998917, 0.3854857087135315, 0.0, 0.010911170393228531, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388921012596,,674,,1375720388,919846881,'',"[0.008694563060998917, 0.47961121797561646, 0.0, 0.010911170393228531, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388929125077,,675,,1375720388,927853697,'',"[0.008694563060998917, 0.6376649737358093, 0.0, 0.010911170393228531, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388937074782,,676,,1375720388,935854771,'',"[0.012421033345162868, 0.7385366559028625, 0.0, 0.010911170393228531, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388941125662,,677,,1375720388,939851766,'',"[0.008694563060998917, 0.8461545705795288, 0.0, 0.010911170393228531, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388949087089,,678,,1375720388,947855386,'',"[0.012421033345162868, 0.9369391202926636, 0.0, 0.010911170393228531, -0.05376558378338814, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720388957038174,,679,,1375720388,955851494,'',"[0.012421033345162868, 0.9672327637672424, 0.0, 0.010911170393228531, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
