rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1375720736926884903,,594,,1375720736,925517131,'',"[0.16588094830513, 0.9638596773147583, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720736934817569,,595,,1375720736,933502303,'',"[0.14715221524238586, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720736942773345,,596,,1375720736,941482901,'',"[0.09099816530942917, 0.9672327637672424, 0.0, 0.01804286427795887, -0.012292534112930298, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720736954736929,,597,,1375720736,953484300,'',"[0.07981875538825989, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720736970713354,,598,,1375720736,969498661,'',"[0.06857509166002274, 0.9672327637672424, 0.0, 0.01804286427795887, -0.012292534112930298, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720736978812626,,599,,1375720736,977484834,'',"[0.04611989110708237, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720736982712074,,600,,1375720736,981472728,'',"[0.027391165494918823, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720736990668422,,601,,1375720736,989461294,'',"[-0.0, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720736998747900,,602,,1375720736,997498705,'',"[-0.0, 0.9705415964126587, 0.0, 0.01804286427795887, -0.012292534112930298, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720737010715081,,603,,1375720737,9481914,'',"[-0.0, 0.9672327637672424, 0.0, 0.01804286427795887, -0.012292534112930298, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720737018712708,,604,,1375720737,17478808,'',"[-0.0, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720737026764437,,605,,1375720737,25474467,'',"[-0.0, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720737034757111,,606,,1375720737,33474203,'',"[-0.0, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720737038907366,,607,,1375720737,37485050,'',"[-0.023696819320321083, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720737046766860,,608,,1375720737,45485069,'',"[-0.0910302922129631, 0.9672327637672424, 0.0, 0.01804286427795887, -0.015762006863951683, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
