rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1375720672619313400,,415,,1375720672,617996006,'',"[-0.0, 0.9705415964126587, 0.0, -0.0, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720672627184130,,416,,1375720672,625913445,'',"[-0.001273746252991259, 0.567054808139801, 0.0, -0.0, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720672635126671,,417,,1375720672,633923867,'',"[-0.0, -0.19366885721683502, 0.0, -0.0, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720672643177629,,418,,1375720672,641915881,'',"[-0.0, 0.1265602558851242, 0.0, -0.0, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720672647108497,,419,,1375720672,645893526,'',"[-0.0, 0.01894235610961914, 0.0, -0.0, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720672655162379,,420,,1375720672,653910539,'',"[-0.0, 0.03577572479844093, 0.0, -0.0, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1375720672663183653,,421,,1375720672,661906663,'',"[-0.0, 0.015569258481264114, 0.0, -0.0, -0.057235054671764374, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
